,Unnamed: 0.1,Unnamed: 0,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Region,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Revenues,EBITDA,Opex,EBIT,depreciation,date_installation,random_year
2,2,2784,2784,747418.8426102848,6945591.115200907,A0026,POINT (747418.8426102848 6945591.115200907),1.0,"0    2605.743673
dtype: float64",5.0,"0    0.0
dtype: float64",156332.18,0.0013754745290817942,1526.7767272807916,4580.330181842375,Hauts-de-France,590816.7216047391,1,0,0,0,not profitable,1671820.516372467,0.0,0.0,0.0,0.0,2027,2027
4,4,333,333,725463.2119144632,6885998.868675371,A0004,POINT (725463.2119144632 6885998.868675371),1.0,"0    2478.232704
dtype: float64",5.0,"0    163.374834
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
5,5,333,333,725463.2119144632,6885998.868675371,A0004,POINT (725463.2119144632 6885998.868675371),1.0,"0    2478.232704
dtype: float64",5.0,"0    163.374834
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
6,6,333,333,725463.2119144632,6885998.868675371,A0004,POINT (725463.2119144632 6885998.868675371),1.0,"0    2478.232704
dtype: float64",5.0,"0    163.374834
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
7,7,333,333,725463.2119144632,6885998.868675371,A0004,POINT (725463.2119144632 6885998.868675371),1.0,"0    2478.232704
dtype: float64",5.0,"0    163.374834
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
10,10,122,122,681797.970082036,6943184.595616988,A0001,POINT (681797.970082036 6943184.595616988),1.0,"0    10732.429098
dtype: float64",5.0,"0    10732.429098
dtype: float64",333120.37,0.0029309294097562195,3253.3316448294036,9759.994934488212,Hauts-de-France,1258941.6005275284,0,0,0,1,large,3562398.1510881972,3352398.1510881972,210000.0,2152398.1510881972,-1200000.0,2024,2024
11,11,346,346,750798.737999998,6894780.162,A0004,POINT (750798.737999998 6894780.162),1.0,"0    21461.707466
dtype: float64",5.0,"0    19433.793813
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
13,13,6989,6989,742994.1100138087,6937818.528753035,N0002,POINT (742994.1100138087 6937818.528753035),1.0,"0    5922.156977
dtype: float64",5.0,"0    1556.925401
dtype: float64",19147.86,0.00016847071227705086,187.00249062752647,561.0074718825795,Hauts-de-France,72364.34540186492,1,0,0,0,not profitable,204767.72723714152,0.0,0.0,0.0,0.0,2027,2027
14,14,159,159,689978.8823369248,7013595.774800069,A0001,POINT (689978.8823369248 7013595.774800069),1.0,"0    4834.607227
dtype: float64",5.0,"0    4446.239976
dtype: float64",333120.37,0.0029309294097562195,3253.3316448294036,9759.994934488212,Hauts-de-France,1258941.6005275284,0,0,0,1,large,3562398.1510881972,3352398.1510881972,210000.0,2152398.1510881972,-1200000.0,2024,2024
16,16,327,327,714721.6813896241,6882250.808311191,A0004,POINT (714721.6813896241 6882250.808311191),1.0,"0    13854.88309
dtype: float64",5.0,"0    11256.341629
dtype: float64",489209.44,0.004304264957517821,4777.734102844781,14333.202308534343,Hauts-de-France,1848839.5512612332,0,0,0,1,large,5231618.842615035,5021618.842615035,210000.0,3821618.8426150354,-1200000.0,2023,2023
17,17,2142,2142,607141.6072735885,7031406.207659215,A0016,POINT (607141.6072735885 7031406.207659215),1.0,"0    37901.400066
dtype: float64",5.0,"0    17478.900228
dtype: float64",42708.41,0.00037576607792830756,417.1003465004214,1251.301039501264,Hauts-de-France,161405.30235778107,1,0,0,0,not profitable,456724.8794179614,0.0,0.0,0.0,0.0,2028,2028
19,19,2752,2752,712957.5111635699,6989012.522011014,A0026,POINT (712957.5111635699 6989012.522011014),1.0,"0    16809.422087
dtype: float64",5.0,"0    16581.444652
dtype: float64",156332.18,0.0013754745290817942,1526.7767272807916,4580.330181842375,Hauts-de-France,590816.7216047391,1,0,0,0,not profitable,1671820.516372467,0.0,0.0,0.0,0.0,2028,2028
