,Unnamed: 0.1,Unnamed: 0,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Region,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Revenues,EBITDA,Opex,EBIT,depreciation,date_installation
0,0,9477,9477,677598.3308222815,7017591.268292528,N0025,POINT (677598.3308222815 7017591.268292528),1.0,"0    8808.953745
dtype: float64",5.0,"0    3015.952017
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2040
1,1,2693,2693,655300.485990519,7053809.481334415,A0026,POINT (655300.485990519 7053809.481334415),1.0,"0    16170.589101
dtype: float64",5.0,"0    6429.169418
dtype: float64",156332.18,0.00046662952934232055,3107.752665419855,4661.628998129782,Hauts-de-France,1134329.722878247,0,0,0,1,large,1701494.5843173706,1491494.5843173706,210000.0,291494.58431737055,-1200000.0,2032
2,2,2163,2163,604266.6928417954,7069743.495710853,A0016,POINT (604266.6928417954 7069743.495710853),1.0,"0    1408.759247
dtype: float64",5.0,"0    0.0
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
3,3,13467,13467,677406.7550561829,6892825.179710423,N0330,POINT (677406.7550561829 6892825.179710423),1.0,"0    5731.236743
dtype: float64",5.0,"0    3223.043612
dtype: float64",21782.8,6.501858869848741e-05,433.02380073192614,649.5357010978892,Hauts-de-France,158053.68726715303,1,0,0,0,small,237080.53090072953,0.0,0.0,0.0,0.0,2035
4,4,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
5,4,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
6,139,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
7,139,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
8,5,9703,9703,695119.4985287006,6923440.408573961,N0031,POINT (695119.4985287006 6923440.408573961),1.0,"0    5638.132264
dtype: float64",5.0,"0    5638.132264
dtype: float64",8572.92,2.558895823425073e-05,170.42246184010986,255.6336927601648,Hauts-de-France,62204.198571640096,1,0,0,0,small,93306.29785746014,0.0,0.0,0.0,0.0,2035
9,6,92,92,667587.5281485193,6891013.914299559,A0001,POINT (667587.5281485193 6891013.914299559),1.0,"0    2884.180537
dtype: float64",5.0,"0    2719.990609
dtype: float64",333120.37,0.0009943173661842346,6622.153658787002,9933.230488180503,Hauts-de-France,2417086.085457256,0,0,0,1,large,3625629.1281858836,3415629.1281858836,210000.0,2215629.1281858836,-1200000.0,2030
10,7,13214,13214,709754.8783411726,7058984.39888404,N0227,POINT (709754.8783411726 7058984.39888404),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2035
11,8,9475,9475,675644.8266195555,7015988.248074892,N0025,POINT (675644.8266195555 7015988.248074892),1.0,"0    11317.975761
dtype: float64",5.0,"0    5435.127141
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2035
12,9,7078,7078,766879.303585951,6995971.97350399,N0002,POINT (766879.303585951 6995971.97350399),1.0,"0    21052.347613
dtype: float64",5.0,"0    8367.236596
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
13,10,9652,9652,659085.7480051693,6920289.41876353,N0031,POINT (659085.7480051693 6920289.41876353),1.0,"0    12739.874947
dtype: float64",5.0,"0    0.0
dtype: float64",8572.92,2.558895823425073e-05,170.42246184010986,255.6336927601648,Hauts-de-France,62204.198571640096,1,0,0,0,small,93306.29785746014,0.0,0.0,0.0,0.0,2035
14,11,2790,2790,757061.9891516117,6940661.414306465,A0026,POINT (757061.9891516117 6940661.414306465),1.0,"0    8313.062373
dtype: float64",5.0,"0    8313.062373
dtype: float64",156332.18,0.00046662952934232055,3107.752665419855,4661.628998129782,Hauts-de-France,1134329.722878247,0,0,0,1,large,1701494.5843173706,1491494.5843173706,210000.0,291494.58431737055,-1200000.0,2032
15,12,2132,2132,611295.9929862043,7011670.284831596,A0016,POINT (611295.9929862043 7011670.284831596),1.0,"0    28939.278298
dtype: float64",5.0,"0    11905.761763
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
16,13,134,134,686460.8080333992,6967142.948071723,A0001,POINT (686460.8080333992 6967142.948071723),1.0,"0    751.828326
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.0009943173661842346,6622.153658787002,9933.230488180503,Hauts-de-France,2417086.085457256,0,0,0,1,large,3625629.1281858836,3415629.1281858836,210000.0,2215629.1281858836,-1200000.0,2030
17,14,2102,2102,643777.177705097,6973896.44190123,A0016,POINT (643777.177705097 6973896.44190123),1.0,"0    8536.214316
dtype: float64",5.0,"0    1264.240076
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
18,15,13473,13473,672662.4421673754,6901211.143992037,N0330,POINT (672662.4421673754 6901211.143992037),1.0,"0    10906.812108
dtype: float64",5.0,"0    743.636629
dtype: float64",21782.8,6.501858869848741e-05,433.02380073192614,649.5357010978892,Hauts-de-France,158053.68726715303,1,0,0,0,small,237080.53090072953,0.0,0.0,0.0,0.0,2035
19,16,13459,13459,680966.395585214,6888693.153310928,N0330,POINT (680966.395585214 6888693.153310928),1.0,"0    282.143195
dtype: float64",5.0,"0    0.0
dtype: float64",21782.8,6.501858869848741e-05,433.02380073192614,649.5357010978892,Hauts-de-France,158053.68726715303,1,0,0,0,small,237080.53090072953,0.0,0.0,0.0,0.0,2035
20,17,2587,2587,708006.1455769051,7064702.448935953,A0022,POINT (708006.1455769051 7064702.448935953),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2035
21,18,2868,2868,602573.389153968,6983944.855254144,A0028,POINT (602573.389153968 6983944.855254144),1.0,"0    20174.449526
dtype: float64",5.0,"0    11770.734333
dtype: float64",73035.72,0.00021800133311502157,1451.8888785460438,2177.8333178190655,Hauts-de-France,529939.440669306,1,0,0,0,small,794909.1610039589,0.0,0.0,0.0,0.0,2035
22,19,190,190,706031.239779546,7057548.759405886,A0001,POINT (706031.239779546 7057548.759405886),1.0,"0    539.89152
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.0009943173661842346,6622.153658787002,9933.230488180503,Hauts-de-France,2417086.085457256,0,0,0,1,large,3625629.1281858836,3415629.1281858836,210000.0,2215629.1281858836,-1200000.0,2030
23,20,6906,6906,700971.6963822967,6904494.471457169,N0002,POINT (700971.6963822967 6904494.471457169),1.0,"0    22164.164084
dtype: float64",5.0,"0    3337.526814
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
24,21,8962,8962,684687.5017545328,7027684.536749929,N0017,POINT (684687.5017545328 7027684.536749929),1.0,"0    4701.908002
dtype: float64",5.0,"0    3014.922047
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2035
25,22,193,193,705838.0323316299,7058248.311936976,A0001,POINT (705838.0323316299 7058248.311936976),1.0,"0    946.951822
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.0009943173661842346,6622.153658787002,9933.230488180503,Hauts-de-France,2417086.085457256,0,0,0,1,large,3625629.1281858836,3415629.1281858836,210000.0,2215629.1281858836,-1200000.0,2030
26,23,117,117,679522.5414171224,6933817.151674848,A0001,POINT (679522.5414171224 6933817.151674848),1.0,"0    11388.880949
dtype: float64",5.0,"0    6120.894546
dtype: float64",333120.37,0.0009943173661842346,6622.153658787002,9933.230488180503,Hauts-de-France,2417086.085457256,0,0,0,1,large,3625629.1281858836,3415629.1281858836,210000.0,2215629.1281858836,-1200000.0,2030
27,24,6954,6954,724451.5346146327,6918003.520851327,N0002,POINT (724451.5346146327 6918003.520851327),1.0,"0    1757.272552
dtype: float64",5.0,"0    1757.272552
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
28,25,6981,6981,732080.4528612106,6927890.931959069,N0002,POINT (732080.4528612106 6927890.931959069),1.0,"0    8110.742987
dtype: float64",5.0,"0    8110.742987
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
29,26,7030,7030,750110.0354379527,6951307.43634329,N0002,POINT (750110.0354379527 6951307.43634329),1.0,"0    8912.295109
dtype: float64",5.0,"0    4415.702201
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
30,26,7030,7030,750110.0354379527,6951307.43634329,N0002,POINT (750110.0354379527 6951307.43634329),1.0,"0    8912.295109
dtype: float64",5.0,"0    4415.702201
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
31,221,7030,7030,750110.0354379527,6951307.43634329,N0002,POINT (750110.0354379527 6951307.43634329),1.0,"0    8912.295109
dtype: float64",5.0,"0    4415.702201
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
32,221,7030,7030,750110.0354379527,6951307.43634329,N0002,POINT (750110.0354379527 6951307.43634329),1.0,"0    8912.295109
dtype: float64",5.0,"0    4415.702201
dtype: float64",19147.86,5.715366407423377e-05,380.6434027343969,570.9651041015953,Hauts-de-France,138934.84199805485,1,0,0,0,small,208402.2629970823,0.0,0.0,0.0,0.0,2035
33,27,9718,9718,716247.899300002,6921152.8613,N0031,POINT (716247.899300002 6921152.8613),1.0,"0    7797.614071
dtype: float64",5.0,"0    7797.614071
dtype: float64",8572.92,2.558895823425073e-05,170.42246184010986,255.6336927601648,Hauts-de-France,62204.198571640096,1,0,0,0,small,93306.29785746014,0.0,0.0,0.0,0.0,2035
34,28,2110,2110,642044.0570195575,6986112.835355642,A0016,POINT (642044.0570195575 6986112.835355642),1.0,"0    6128.811533
dtype: float64",5.0,"0    5209.858589
dtype: float64",42708.41,0.00012747858602917748,849.007382954322,1273.511074431483,Hauts-de-France,309887.69477832754,1,0,0,0,small,464831.5421674913,0.0,0.0,0.0,0.0,2035
