,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Region,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Revenues,EBITDA,Opex,EBIT,depreciation,date_installation,random_year
0,0,0,9477,9477,677598.3308222815,7017591.268292528,N0025,POINT (677598.3308222815 7017591.268292528),1.0,"0    8808.953745
dtype: float64",5.0,"0    3015.952017
dtype: float64",0.0,0.0,0.0,0.0,Hauts-de-France,0.0,1,0,0,0,small,0.0,0.0,0.0,0.0,0.0,2040,2040
1,1,1,2693,2693,655300.485990519,7053809.481334415,A0026,POINT (655300.485990519 7053809.481334415),1.0,"0    16170.589101
dtype: float64",5.0,"0    6429.169418
dtype: float64",156332.18,0.00041864359984648635,2788.166374977599,4182.249562466399,Hauts-de-France,1017680.7268668236,0,0,0,1,large,1526521.0903002357,1316521.0903002357,210000.0,116521.09030023566,-1200000.0,2032,2032
2,2,2,2163,2163,604266.6928417954,7069743.495710853,A0016,POINT (604266.6928417954 7069743.495710853),1.0,"0    1408.759247
dtype: float64",5.0,"0    0.0
dtype: float64",42708.41,0.00011436930327536965,761.6995598139619,1142.5493397209427,Hauts-de-France,278020.3393320961,1,0,0,0,small,417030.50899814407,0.0,0.0,0.0,0.0,2035,2035
3,3,3,13467,13467,677406.7550561829,6892825.179710423,N0330,POINT (677406.7550561829 6892825.179710423),1.0,"0    5731.236743
dtype: float64",5.0,"0    3223.043612
dtype: float64",21782.8,5.8332390725543794e-05,388.4937222321217,582.7405833481826,Hauts-de-France,141800.20861472443,1,0,0,0,small,212700.31292208662,0.0,0.0,0.0,0.0,2035,2035
4,4,4,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00011436930327536965,761.6995598139619,1142.5493397209427,Hauts-de-France,278020.3393320961,1,0,0,0,small,417030.50899814407,0.0,0.0,0.0,0.0,2035,2035
5,5,4,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00011436930327536965,761.6995598139619,1142.5493397209427,Hauts-de-France,278020.3393320961,1,0,0,0,small,417030.50899814407,0.0,0.0,0.0,0.0,2035,2035
6,6,139,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00011436930327536965,761.6995598139619,1142.5493397209427,Hauts-de-France,278020.3393320961,1,0,0,0,small,417030.50899814407,0.0,0.0,0.0,0.0,2035,2035
7,7,139,2192,2192,622334.7230998557,7093761.498301211,A0016,POINT (622334.7230998557 7093761.498301211),1.0,"0    19427.438802
dtype: float64",5.0,"0    980.229669
dtype: float64",42708.41,0.00011436930327536965,761.6995598139619,1142.5493397209427,Hauts-de-France,278020.3393320961,1,0,0,0,small,417030.50899814407,0.0,0.0,0.0,0.0,2035,2035
8,8,5,9703,9703,695119.4985287006,6923440.408573961,N0031,POINT (695119.4985287006 6923440.408573961),1.0,"0    5638.132264
dtype: float64",5.0,"0    5638.132264
dtype: float64",8572.92,2.2957513225977786e-05,152.89703808501204,229.34555712751808,Hauts-de-France,55807.41890102939,1,0,0,0,small,83711.1283515441,0.0,0.0,0.0,0.0,2035,2035
9,9,6,92,92,667587.5281485193,6891013.914299559,A0001,POINT (667587.5281485193 6891013.914299559),1.0,"0    2884.180537
dtype: float64",5.0,"0    2719.990609
dtype: float64",333120.37,0.0008920665654313366,5941.163325772702,8911.744988659053,Hauts-de-France,2168524.613907036,0,0,0,1,large,3252786.9208605546,3042786.9208605546,210000.0,1842786.9208605546,-1200000.0,2030,2030
