,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Region
296,296,670842.4759115779,6859116.178390036,A0004,POINT (670842.4759115779 6859116.178390036),1.0,"0    1405.055282
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
19,19,652120.8648179206,6866968.606225524,75000C01,POINT (652120.8648179206 6866968.606225524),1.0,"0    354.947188
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable,Bretagne
538,538,1048155.0540478148,6845895.819063297,A0004,POINT (1048155.0540478148 6845895.819063297),1.0,"0    1337.099909
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
8,8,847862.0769520273,6520701.477917263,69D0383,POINT (847862.0769520273 6520701.477917263),1.0,"0    172.756327
dtype: float64",5.0,"0    0.0
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable,Bretagne
611,611,773061.0275846705,6794953.429897669,A0005,POINT (773061.0275846705 6794953.429897669),1.0,"0    2893.642493
dtype: float64",5.0,"0    2603.828671
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
645,645,831306.5896243389,6780934.566038355,A0005,POINT (831306.5896243389 6780934.566038355),1.0,"0    48390.618282
dtype: float64",5.0,"0    48390.618282
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
281,281,662254.006732037,6858982.535522331,A0004,POINT (662254.006732037 6858982.535522331),1.0,"0    2600.206797
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
483,483,979255.9131413919,6898173.566542124,A0004,POINT (979255.9131413919 6898173.566542124),1.0,"0    8468.594584
dtype: float64",5.0,"0    7483.932556
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
215,215,709125.651000001,7005156.863,A0002,POINT (709125.651000001 7005156.863),1.0,"0    7832.500074
dtype: float64",5.0,"0    6793.764896
dtype: float64",41867.89,0.003379687328989051,1875.7264675889232,13130.085273122462,684640.1606699569,0,0,0,1,large,Bretagne
461,461,936825.8670994235,6898375.97638435,A0004,POINT (936825.8670994235 6898375.97638435),1.0,"0    4084.670607
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
263,263,662060.050999999,6874511.276,A0003,POINT (662060.050999999 6874511.276),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",45981.93,0.0037117835693048183,1373.3599206427828,9613.51944449948,501276.37103461573,0,0,0,1,large,Bretagne
220,220,716141.5255688266,7012075.907091557,A0002,POINT (716141.5255688266 7012075.907091557),1.0,"0    1032.974198
dtype: float64",5.0,"0    1012.107055
dtype: float64",41867.89,0.003379687328989051,1875.7264675889232,13130.085273122462,684640.1606699569,0,0,0,1,large,Bretagne
586,586,730677.246358304,6792846.9554376295,A0005,POINT (730677.246358304 6792846.9554376295),1.0,"0    28367.566913
dtype: float64",5.0,"0    8079.393535
dtype: float64",52949.71,0.0042742412851625635,527.1564251700495,3690.0949761903466,192412.09518706807,0,0,0,1,large,Bretagne
513,513,1016315.4617,6860892.3528,A0004,POINT (1016315.4617 6860892.3528),1.0,"0    6146.52759
dtype: float64",5.0,"0    6146.52759
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
261,261,662054.3097022815,6874505.5767076,A0003,POINT (662054.3097022815 6874505.5767076),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",45981.93,0.0037117835693048183,1373.3599206427828,9613.51944449948,501276.37103461573,0,0,0,1,large,Bretagne
326,326,712935.311999999,6881400.973,A0004,POINT (712935.311999999 6881400.973),1.0,"0    15823.060983
dtype: float64",5.0,"0    13137.256055
dtype: float64",489209.44,0.03949028588710416,2578.483372628566,18049.383608399963,941146.4310094266,0,0,0,1,large,Bretagne
256,256,661886.0880034122,6871120.543169269,A0003,POINT (661886.0880034122 6871120.543169269),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",45981.93,0.0037117835693048183,1373.3599206427828,9613.51944449948,501276.37103461573,0,0,0,1,large,Bretagne
