,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type
2316,2316,604141.6866886847,6647111.049058732,A0020,POINT (604141.6866886847 6647111.049058732),1.0,"0    6722.892027
dtype: float64",5.0,"0    6202.714991
dtype: float64",265363.5,0.021420846823811422,6202.732167242785,24810.92866897114,2263997.2410436166,0,0,0,1,large
1017,1017,839253.2667302774,6356460.910758239,A0007,POINT (839253.2667302774 6356460.910758239),1.0,"0    5159.204184
dtype: float64",5.0,"0    356.460962
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
338,338,734701.608691097,6889961.19233955,A0004,POINT (734701.608691097 6889961.19233955),1.0,"0    7144.135386
dtype: float64",5.0,"0    7134.041155
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
1764,1764,470438.09398285614,6762367.290763071,A0011,POINT (470438.09398285614 6762367.290763071),1.0,"0    16402.36047
dtype: float64",5.0,"0    13236.950671
dtype: float64",123877.44,0.009999716114559425,3917.535842527398,15670.143370109592,1429900.5825225003,0,0,0,1,large
472,472,956720.7323517036,6898161.274399979,A0004,POINT (956720.7323517036 6898161.274399979),1.0,"0    12702.715476
dtype: float64",5.0,"0    10182.654947
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
1450,1450,613840.131607438,6756482.770158395,A0010,POINT (613840.131607438 6756482.770158395),1.0,"0    3686.647998
dtype: float64",5.0,"0    0.0
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
2926,2926,498871.71443133114,6742477.653938501,A0028,POINT (498871.71443133114 6742477.653938501),1.0,"0    21563.47006
dtype: float64",5.0,"0    20621.304185
dtype: float64",73035.72,0.005895637383388373,3569.540452124233,14278.161808496932,1302882.2650253451,0,0,0,1,large
2277,2277,645805.2975834396,6779448.139674737,A0019,POINT (645805.2975834396 6779448.139674737),1.0,"0    21738.297324
dtype: float64",5.0,"0    1516.29748
dtype: float64",26815.98,0.002164657158992818,3604.154169723042,14416.616678892167,1315516.2719489103,0,0,0,1,large
54,54,652895.6780366435,6869486.499430487,A0001,POINT (652895.6780366435 6869486.499430487),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
1108,1108,840541.498000003,6499453.796,A0007N,POINT (840541.498000003 6499453.796),1.0,"0    535.246248
dtype: float64",5.0,"0    0.0
dtype: float64",88524.21,0.007145909451031944,3660.904380297904,14643.617521191616,1336230.098808735,0,0,0,1,large
933,933,841330.403967315,6516477.458453015,A0007,POINT (841330.403967315 6516477.458453015),1.0,"0    1442.374191
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
1315,1315,742106.5931593231,6257533.081976778,A0009,POINT (742106.5931593231 6257533.081976778),1.0,"0    14403.655559
dtype: float64",5.0,"0    14403.655559
dtype: float64",290811.36,0.023475065701139306,7817.19687847939,31268.78751391756,2853276.860644977,0,0,0,1,large
1272,1272,808412.049072161,6302219.121667483,A0009,POINT (808412.049072161 6302219.121667483),1.0,"0    684.805404
dtype: float64",5.0,"0    269.803633
dtype: float64",290811.36,0.023475065701139306,7817.19687847939,31268.78751391756,2853276.860644977,0,0,0,1,large
517,517,1023608.8645247521,6862100.650717785,A0004,POINT (1023608.8645247521 6862100.650717785),1.0,"0    2228.721313
dtype: float64",5.0,"0    2095.104373
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
3065,3065,529849.5939926741,6950442.449441817,A0029,POINT (529849.5939926741 6950442.449441817),1.0,"0    17403.462916
dtype: float64",5.0,"0    14706.752522
dtype: float64",69686.13,0.005625249578311297,5352.023170221891,21408.092680887563,1953488.4571309902,0,0,0,1,large
1581,1581,451606.93144624407,6590417.47884752,A0010,POINT (451606.93144624407 6590417.47884752),1.0,"0    15074.343497
dtype: float64",5.0,"0    6106.787214
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
402,402,838529.5282294524,6887447.056446741,A0004,POINT (838529.5282294524 6887447.056446741),1.0,"0    35173.204698
dtype: float64",5.0,"0    30749.947992
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
1887,1887,621152.2666549968,6874562.180244037,A0013,POINT (621152.2666549968 6874562.180244037),1.0,"0    2108.717585
dtype: float64",5.0,"0    2108.717585
dtype: float64",199619.88,0.016113847128439357,6707.388867212882,26829.55546885153,2448196.936532702,0,0,0,1,large
2421,2421,586448.5246228022,6464155.213975384,A0020,POINT (586448.5246228022 6464155.213975384),1.0,"0    9047.60777
dtype: float64",5.0,"0    9047.60777
dtype: float64",265363.5,0.021420846823811422,6202.732167242785,24810.92866897114,2263997.2410436166,0,0,0,1,large
284,284,665242.4136582104,6858759.0078040445,A0004,POINT (665242.4136582104 6858759.0078040445),1.0,"0    2991.984221
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
1853,1853,630741.1433908233,6857245.017517114,A0012,POINT (630741.1433908233 6857245.017517114),1.0,"0    5857.832179
dtype: float64",5.0,"0    4546.004717
dtype: float64",49711.95,0.004012880694831702,6681.446356894783,26725.785427579132,2438727.9202665957,0,0,0,1,large
2616,2616,732321.1526413861,7032756.4549357025,A0023,POINT (732321.1526413861 7032756.4549357025),1.0,"0    4845.88413
dtype: float64",5.0,"0    1479.631344
dtype: float64",0.0,0.0,0.0,0.0,0.0,1,0,0,0,not profitable
1681,1681,613895.4503982571,6825752.729489796,A0011,POINT (613895.4503982571 6825752.729489796),1.0,"0    12958.47756
dtype: float64",5.0,"0    7609.891761
dtype: float64",123877.44,0.009999716114559425,3917.535842527398,15670.143370109592,1429900.5825225003,0,0,0,1,large
1111,1111,842342.3808779687,6496875.287912609,A0007N,POINT (842342.3808779687 6496875.287912609),1.0,"0    94.374605
dtype: float64",5.0,"0    101.851296
dtype: float64",88524.21,0.007145909451031944,3660.904380297904,14643.617521191616,1336230.098808735,0,0,0,1,large
1380,1380,685179.7452506537,6158398.070616464,A0009,POINT (685179.7452506537 6158398.070616464),1.0,"0    17304.830916
dtype: float64",5.0,"0    17304.830916
dtype: float64",290811.36,0.023475065701139306,7817.19687847939,31268.78751391756,2853276.860644977,0,0,0,1,large
1525,1525,516977.6484028317,6665776.62475991,A0010,POINT (516977.6484028317 6665776.62475991),1.0,"0    28102.000786
dtype: float64",5.0,"0    18335.033985
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
1811,1811,410634.5564388789,6711187.166217928,A0011,POINT (410634.5564388789 6711187.166217928),1.0,"0    22552.619197
dtype: float64",5.0,"0    19007.757429
dtype: float64",123877.44,0.009999716114559425,3917.535842527398,15670.143370109592,1429900.5825225003,0,0,0,1,large
955,955,841946.3621408436,6471025.189723468,A0007,POINT (841946.3621408436 6471025.189723468),1.0,"0    4123.709388
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
2124,2124,619952.8539435695,6999289.496979746,A0016,POINT (619952.8539435695 6999289.496979746),1.0,"0    31840.657495
dtype: float64",5.0,"0    2679.83398
dtype: float64",42708.41,0.0034475363367551908,1435.0370001743481,5740.1480006973925,523788.50506363704,0,0,0,1,large
157,157,690942.0539049591,7009895.06186685,A0001,POINT (690942.0539049591 7009895.06186685),1.0,"0    8593.656555
dtype: float64",5.0,"0    8223.363102
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
652,652,840682.6701500014,6776663.13247235,A0005,POINT (840682.6701500014 6776663.13247235),1.0,"0    58534.196349
dtype: float64",5.0,"0    58534.196349
dtype: float64",52949.71,0.0042742412851625635,2372.2039132652226,9488.81565306089,865854.4283418063,0,0,0,1,large
1543,1543,506117.76644650433,6632185.196709325,A0010,POINT (506117.76644650433 6632185.196709325),1.0,"0    16894.31509
dtype: float64",5.0,"0    6716.509225
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
1891,1891,616032.4840010572,6874692.379505964,A0013,POINT (616032.4840010572 6874692.379505964),1.0,"0    3887.129979
dtype: float64",5.0,"0    188.686362
dtype: float64",199619.88,0.016113847128439357,6707.388867212882,26829.55546885153,2448196.936532702,0,0,0,1,large
1672,1672,426644.1591147139,6432937.855012459,A0010,POINT (426644.1591147139 6432937.855012459),1.0,"0    1460.824323
dtype: float64",5.0,"0    1227.482659
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
2123,2123,621729.3873238252,6998536.933146625,A0016,POINT (621729.3873238252 6998536.933146625),1.0,"0    29934.269063
dtype: float64",5.0,"0    4380.65063
dtype: float64",42708.41,0.0034475363367551908,1435.0370001743481,5740.1480006973925,523788.50506363704,0,0,0,1,large
1210,1210,1020928.7025356666,6281900.854015777,A0008,POINT (1020928.7025356666 6281900.854015777),1.0,"0    29336.18661
dtype: float64",5.0,"0    11170.485352
dtype: float64",159447.95,0.01287106219702688,6122.948159442787,24491.79263777115,2234876.0781966173,0,0,0,1,large
1990,1990,643298.0039697275,6866452.403569332,A0014,POINT (643298.0039697275 6866452.403569332),1.0,"0    1874.402177
dtype: float64",5.0,"0    0.0
dtype: float64",6620.95,0.0005344606766873147,1186.5027022458387,4746.010808983355,433073.4863197311,0,0,0,1,large
334,334,727360.6607474203,6886491.860267498,A0004,POINT (727360.6607474203 6886491.860267498),1.0,"0    550.530442
dtype: float64",5.0,"0    0.0
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
938,938,843556.259012205,6512002.1353864325,A0007,POINT (843556.259012205 6512002.1353864325),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
2678,2678,637114.5378978612,7076326.783285806,A0026,POINT (637114.5378978612 7076326.783285806),1.0,"0    13291.986839
dtype: float64",5.0,"0    8274.809714
dtype: float64",156332.18,0.012619548963638615,5252.887256114574,21011.549024458294,1917303.8484818193,0,0,0,1,large
79,79,664122.2010627659,6876679.358270301,A0001,POINT (664122.2010627659 6876679.358270301),1.0,"0    0.0
dtype: float64",5.0,"0    0.0
dtype: float64",333120.37,0.02689036140863904,5267.347264162824,21069.389056651296,1922581.7514194308,0,0,0,1,large
1951,1951,526187.1712031033,6922914.20078482,A0013,POINT (526187.1712031033 6922914.20078482),1.0,"0    10916.31425
dtype: float64",5.0,"0    6370.438894
dtype: float64",199619.88,0.016113847128439357,6707.388867212882,26829.55546885153,2448196.936532702,0,0,0,1,large
1071,1071,880424.7469662968,6271059.987836599,A0007,POINT (880424.7469662968 6271059.987836599),1.0,"0    2073.375081
dtype: float64",5.0,"0    75.218447
dtype: float64",321874.2,0.025982540683767145,5967.024860478938,23868.09944191575,2177964.0740748122,0,0,0,1,large
1451,1451,611914.259278549,6756248.512074134,A0010,POINT (611914.259278549 6756248.512074134),1.0,"0    4222.772564
dtype: float64",5.0,"0    551.24923
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
341,341,740478.4890509713,6892182.034065769,A0004,POINT (740478.4890509713 6892182.034065769),1.0,"0    13304.200339
dtype: float64",5.0,"0    13217.002144
dtype: float64",489209.44,0.03949028588710416,6262.03104781223,25048.12419124892,2285641.332451464,0,0,0,1,large
2989,2989,500399.59249419626,6854653.715143171,A0028,POINT (500399.59249419626 6854653.715143171),1.0,"0    21752.085867
dtype: float64",5.0,"0    21713.31394
dtype: float64",73035.72,0.005895637383388373,3569.540452124233,14278.161808496932,1302882.2650253451,0,0,0,1,large
1596,1596,430294.45280958456,6570804.689294864,A0010,POINT (430294.45280958456 6570804.689294864),1.0,"0    13786.629119
dtype: float64",5.0,"0    9084.517163
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
1588,1588,439986.1372789761,6582822.456347999,A0010,POINT (439986.1372789761 6582822.456347999),1.0,"0    2767.261741
dtype: float64",5.0,"0    1928.624939
dtype: float64",381900.72,0.03082804087609372,4368.398983718812,17473.595934875248,1594465.6290573664,0,0,0,1,large
610,610,771846.6816957804,6796436.311343398,A0005,POINT (771846.6816957804 6796436.311343398),1.0,"0    1491.757629
dtype: float64",5.0,"0    1491.757629
dtype: float64",52949.71,0.0042742412851625635,2372.2039132652226,9488.81565306089,865854.4283418063,0,0,0,1,large
1114,1114,844793.890000001,6495073.158,A0007N,POINT (844793.890000001 6495073.158),1.0,"0    2641.449922
dtype: float64",5.0,"0    507.94949
dtype: float64",88524.21,0.007145909451031944,3660.904380297904,14643.617521191616,1336230.098808735,0,0,0,1,large
1337,1337,704670.5305069871,6231840.158551949,A0009,POINT (704670.5305069871 6231840.158551949),1.0,"0    4323.55995
dtype: float64",5.0,"0    4323.55995
dtype: float64",290811.36,0.023475065701139306,7817.19687847939,31268.78751391756,2853276.860644977,0,0,0,1,large
